                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.99484,                0.66293,                 1.0222,                0.46601,                0.60459,                0.53016,                0.37962,                 0.9846,                0.80937,                 1.0768,               0.000948,               0.000948,               0.000948
                     36,                0.98739,                0.64035,                 1.0041,                0.44709,                0.56634,                0.52271,                0.37784,                0.97961,                0.83059,                 1.0781,             0.00093385,             0.00093385,             0.00093385
                     37,                 0.9942,                0.65666,                 1.0183,                0.48282,                0.52316,                0.53075,                0.38315,                 1.0334,                0.85581,                 1.1079,              0.0009197,              0.0009197,              0.0009197
                     38,                0.98669,                0.63942,                 1.0101,                0.50181,                0.62912,                0.57823,                0.42166,                0.96985,                0.75211,                 1.0622,             0.00090556,             0.00090556,             0.00090556
                     39,                 0.9636,                0.62366,                 1.0017,                 0.5471,                0.66132,                0.58499,                 0.4274,                0.98069,                 0.7432,                 1.0673,             0.00089141,             0.00089141,             0.00089141
                     40,                0.94857,                0.62012,                0.99594,                0.50825,                0.57622,                0.56943,                0.41034,                0.99315,                0.80231,                 1.0817,             0.00087726,             0.00087726,             0.00087726
                     41,                0.95564,                0.60881,                0.99401,                0.48632,                0.61679,                0.53769,                0.38654,                 1.0067,                0.89747,                 1.0934,             0.00086312,             0.00086312,             0.00086312
                     42,                0.94781,                0.60773,                0.98598,                0.54594,                0.64711,                 0.5765,                 0.4184,                0.99933,                0.77793,                 1.0729,             0.00084897,             0.00084897,             0.00084897
                     43,                0.97192,                0.61641,                0.99325,                0.47465,                0.63021,                0.57323,                0.41465,                  0.977,                0.78238,                 1.0695,             0.00083482,             0.00083482,             0.00083482
                     44,                0.96204,                0.60731,                0.98574,                0.51266,                0.67277,                0.57273,                0.41929,                0.97546,                0.73931,                 1.0703,             0.00082067,             0.00082067,             0.00082067
                     45,                0.96793,                0.61485,                0.99829,                0.49361,                0.64654,                0.56692,                0.41607,                0.96247,                0.73785,                 1.0546,             0.00080653,             0.00080653,             0.00080653
                     46,                0.97182,                0.60887,                 1.0007,                0.53569,                0.67951,                0.59117,                0.43075,                0.96976,                0.74055,                  1.076,             0.00079238,             0.00079238,             0.00079238
                     47,                0.96592,                0.62141,                 1.0055,                0.52596,                0.60977,                0.56011,                0.40472,                0.96874,                0.77455,                 1.0728,             0.00077823,             0.00077823,             0.00077823
                     48,                0.94694,                0.59368,                0.98284,                0.51326,                0.60692,                0.56733,                 0.4126,                0.96008,                0.75746,                 1.0698,             0.00076409,             0.00076409,             0.00076409
                     49,                0.96159,                0.60476,                0.99131,                0.50339,                0.63834,                0.55448,                0.40441,                0.96136,                0.77492,                 1.0652,             0.00074994,             0.00074994,             0.00074994
                     50,                0.94639,                0.59744,                0.99368,                0.53774,                0.63813,                 0.5763,                0.41968,                0.95784,                0.74097,                  1.059,             0.00073579,             0.00073579,             0.00073579
                     51,                0.93311,                0.58463,                  0.993,                0.53284,                0.68626,                0.57225,                0.41676,                0.96169,                0.77294,                 1.0667,             0.00072164,             0.00072164,             0.00072164
                     52,                 0.9372,                0.58591,                 0.9827,                 0.5135,                0.61021,                0.57457,                0.42356,                0.95718,                0.74029,                  1.057,              0.0007075,              0.0007075,              0.0007075
                     53,                0.92256,                0.58486,                0.98398,                 0.5416,                0.57915,                 0.5786,                0.42312,                0.95772,                0.75386,                 1.0596,             0.00069335,             0.00069335,             0.00069335
                     54,                0.93642,                0.57607,                0.97826,                0.51768,                0.62457,                 0.5736,                0.41578,                0.96284,                 0.7755,                 1.0613,              0.0006792,              0.0006792,              0.0006792
                     55,                0.96212,                0.60467,                0.99679,                0.57051,                0.60599,                0.57676,                 0.4216,                0.95742,                 0.7554,                 1.0685,             0.00066506,             0.00066506,             0.00066506
                     56,                 0.9247,                 0.5877,                0.99088,                0.55673,                0.64961,                0.57657,                0.42111,                0.93658,                0.74404,                 1.0602,             0.00065091,             0.00065091,             0.00065091
                     57,                0.93363,                 0.5903,                0.98739,                0.53749,                0.61896,                0.57152,                0.41736,                0.94918,                0.76252,                 1.0624,             0.00063676,             0.00063676,             0.00063676
                     58,                0.91706,                0.56781,                0.96815,                0.53867,                0.71677,                0.59451,                0.43784,                0.94301,                0.73196,                 1.0556,             0.00062262,             0.00062262,             0.00062262
                     59,                0.91917,                0.56121,                0.97773,                0.49241,                 0.6521,                0.57438,                0.42524,                 0.9302,                0.72758,                 1.0558,             0.00060847,             0.00060847,             0.00060847
                     60,                0.94432,                0.58106,                0.98334,                0.52181,                0.62735,                0.56942,                 0.4187,                0.93846,                0.74825,                 1.0536,             0.00059432,             0.00059432,             0.00059432
                     61,                0.93856,                0.56855,                0.98062,                0.52085,                0.64528,                0.57609,                0.42107,                0.94213,                0.71753,                 1.0631,             0.00058017,             0.00058017,             0.00058017
                     62,                0.93629,                0.57529,                0.98272,                0.49447,                 0.6598,                0.57796,                0.42116,                0.94072,                0.77041,                 1.0631,             0.00056603,             0.00056603,             0.00056603
                     63,                0.96359,                 0.5793,                0.99109,                 0.5025,                 0.7036,                0.58511,                0.42738,                0.93005,                0.70884,                 1.0486,             0.00055188,             0.00055188,             0.00055188
                     64,                0.91946,                0.56541,                0.97827,                0.53102,                0.57239,                 0.5782,                0.42289,                0.94274,                0.73245,                 1.0612,             0.00053773,             0.00053773,             0.00053773
                     65,                0.92531,                0.58025,                0.99149,                0.51927,                0.63846,                0.56775,                0.41579,                0.94485,                0.75705,                 1.0651,             0.00052359,             0.00052359,             0.00052359
                     66,                0.91665,                0.56577,                0.98395,                0.54153,                0.66988,                  0.588,                0.43491,                0.94547,                0.72961,                 1.0645,             0.00050944,             0.00050944,             0.00050944
                     67,                 0.9149,                0.56673,                0.97536,                0.53227,                0.65414,                0.58255,                0.42843,                0.93154,                0.72255,                 1.0537,             0.00049529,             0.00049529,             0.00049529
                     68,                0.90499,                0.56695,                0.98378,                0.51994,                0.62705,                0.57719,                0.42206,                0.93911,                0.75888,                 1.0628,             0.00048114,             0.00048114,             0.00048114
                     69,                 0.9126,                0.56464,                0.98072,                0.53287,                0.70193,                 0.5776,                 0.4246,                0.93479,                0.73783,                 1.0554,               0.000467,               0.000467,               0.000467
                     70,                0.89796,                0.55261,                0.97358,                0.53726,                0.71342,                0.58468,                0.42716,                  0.937,                 0.7291,                 1.0657,             0.00045285,             0.00045285,             0.00045285
                     71,                 0.8998,                0.55331,                0.97427,                0.55016,                  0.674,                 0.5788,                0.42377,                0.92754,                0.72401,                  1.058,              0.0004387,              0.0004387,              0.0004387
                     72,                0.90279,                 0.5584,                 0.9779,                 0.5442,                0.66666,                0.57755,                  0.425,                0.92625,                0.71325,                 1.0505,             0.00042456,             0.00042456,             0.00042456
                     73,                0.89753,                0.56148,                0.98752,                0.53717,                0.68394,                 0.5954,                0.43693,                0.92494,                0.72112,                 1.0513,             0.00041041,             0.00041041,             0.00041041
                     74,                0.88708,                0.53819,                 0.9744,                0.56592,                0.70098,                0.58609,                0.43169,                0.92417,                0.73203,                 1.0496,             0.00039626,             0.00039626,             0.00039626
                     75,                0.89227,                 0.5447,                0.97423,                0.52531,                0.62793,                0.57809,                0.42538,                0.93032,                0.72614,                 1.0503,             0.00038211,             0.00038211,             0.00038211
                     76,                 0.9055,                 0.5599,                0.97412,                0.53112,                0.65634,                0.57395,                0.42279,                0.92239,                0.71445,                  1.053,             0.00036797,             0.00036797,             0.00036797
